#multiword-expression	sentiment-view	polarity
take_up_arms	ACTOR	NEGATIVE
take_up_the_challenge	ACTOR	NEUTRAL
take_wing	SPEAKER	POSITIVE
talk_shop	SPEAKER	NEGATIVE
talk_the_talk	SPEAKER	NEGATIVE
talk_trash	SPEAKER	NEGATIVE
talk_turkey	SPEAKER	NEUTRAL
tear_one's_hair	SPEAKER	NEGATIVE
tell_a_lie	SPEAKER	NEGATIVE
tell_all	SPEAKER	NEGATIVE
tell_one_the_truth	SPEAKER	POSITIVE
tell_the_difference	SPEAKER	NEUTRAL
tell_the_difference_between	SPEAKER	NEUTRAL
tell_the_truth	SPEAKER	POSITIVE
tell_the_world	SPEAKER	NEUTRAL
tell_you_the_truth	SPEAKER	NEGATIVE
test_the_waters	ACTOR	NEUTRAL
think_nothing_of	SPEAKER	NEUTRAL
think_the_world	ACTOR	POSITIVE
throw_a_fit	SPEAKER	NEGATIVE
throw_a_party	ACTOR	POSITIVE
throw_a_tantrum	SPEAKER	NEGATIVE
throw_caution_to_the_wind	ACTOR	POSITIVE
throw_in_at_the_deep_end	SPEAKER	NEUTRAL
throw_in_the_sponge	ACTOR	NEGATIVE
throw_in_the_towel	ACTOR	NEGATIVE
throw_light_on	SPEAKER	POSITIVE
throw_the_book	ACTOR	NEGATIVE
throw_to_the_dogs	SPEAKER	NEGATIVE
throw_to_the_wolves	SPEAKER	NEGATIVE
throw_under_the_bus	SPEAKER	NEGATIVE
throw_up_one's_hands	ACTOR	NEGATIVE
throw_up_the_sponge	ACTOR	NEGATIVE
thumb_one's_nose	SPEAKER	NEGATIVE
tie_one's_hands	ACTOR	NEGATIVE
tie_the_knot	ACTOR	POSITIVE
tip_one's_hat	ACTOR	POSITIVE
tip_the_balance	SPEAKER	NEUTRAL
tip_the_scale	SPEAKER	NEUTRAL
to_be_an_open_book	SPEAKER	NEUTRAL
to_cross_the_line	SPEAKER	NEGATIVE
to_roll_the_dice	SPEAKER	NEUTRAL
toe_the_line	ACTOR	POSITIVE
touch_a_chord	ACTOR	POSITIVE
touch_base	ACTOR	NEUTRAL
touch_wood	SPEAKER	POSITIVE
tread_water	SPEAKER	NEGATIVE
try_one's_best	SPEAKER	POSITIVE
try_one's_hand	ACTOR	POSITIVE
try_one's_luck	ACTOR	POSITIVE
try_one's_patience	ACTOR	NEGATIVE
turn_a_blind_eye	SPEAKER	NEGATIVE
turn_a_phrase	SPEAKER	POSITIVE
turn_a_profit	SPEAKER	POSITIVE
turn_in_one's_grave	SPEAKER	NEGATIVE
turn_inside_out	SPEAKER	NEGATIVE
turn_into_a_pumpkin	SPEAKER	NEUTRAL
turn_one's_back	ACTOR	NEGATIVE
turn_one's_head	SPEAKER	NEGATIVE
turn_one's_nose_up	SPEAKER	NEGATIVE
turn_one's_stomach	ACTOR	NEGATIVE
turn_over_a_new_leaf	SPEAKER	POSITIVE
turn_the_corner	SPEAKER	POSITIVE
turn_the_other_cheek	SPEAKER	NEGATIVE
turn_the_page	SPEAKER	POSITIVE
turn_the_table	SPEAKER	POSITIVE
turn_the_tide	SPEAKER	POSITIVE
turn_up_one's_nose	SPEAKER	NEGATIVE
twist_the_knife	SPEAKER	NEGATIVE
up_the_ante	SPEAKER	NEUTRAL
upset_someone's_applecart	SPEAKER	NEGATIVE
upset_the_applecart	SPEAKER	NEGATIVE
use_one's_head	SPEAKER	POSITIVE
use_one's_noggin	SPEAKER	POSITIVE
wage_war_against	ACTOR	NEGATIVE
wage_war_on	ACTOR	NEGATIVE
wait_one's_turn	ACTOR	POSITIVE
wake_the_dead	SPEAKER	NEGATIVE
walk_a_tightrope	SPEAKER	NEGATIVE
walk_on_the_wild_side	SPEAKER	NEGATIVE
walk_on_water	SPEAKER	POSITIVE
walk_the_line	SPEAKER	POSITIVE
walk_the_talk	SPEAKER	POSITIVE
walk_the_walk	SPEAKER	POSITIVE
wash_one's_hands	SPEAKER	NEGATIVE
wash_one's_hands_of	SPEAKER	NEGATIVE
waste_no_time	SPEAKER	NEGATIVE
waste_one's_time	SPEAKER	NEGATIVE
waste_time	SPEAKER	NEGATIVE
watch_paint_dry	SPEAKER	NEGATIVE
wear_one's_heart_on_one's_sleeve	SPEAKER	NEUTRAL
wear_out_one's_welcome	SPEAKER	NEGATIVE
wear_the_trousers	SPEAKER	NEUTRAL
weather_the_storm	SPEAKER	POSITIVE
weave_a_spell	SPEAKER	POSITIVE
weigh_a_ton	SPEAKER	NEGATIVE
wet_one's_pants	SPEAKER	NEGATIVE
win_hands_down	SPEAKER	POSITIVE
win_the_day	SPEAKER	POSITIVE
win_the_hand	ACTOR	POSITIVE
win_the_heart	ACTOR	POSITIVE
wipe_the_slate_clean	ACTOR	POSITIVE
work_like_a_charm	SPEAKER	POSITIVE
work_one's_magic	SPEAKER	POSITIVE
work_one's_way_through	SPEAKER	NEUTRAL
work_one's_way_up	SPEAKER	POSITIVE
work_things_out	ACTOR	POSITIVE
work_wonders	SPEAKER	POSITIVE
worm_one's_way_into	SPEAKER	NEGATIVE
wreak_havoc	SPEAKER	NEGATIVE
wring_one's_hands	ACTOR	NEGATIVE
write_the_book	SPEAKER	POSITIVE
yield_the_ghost	SPEAKER	NEGATIVE
yield_up_the_ghost	SPEAKER	NEGATIVE
zip_one's_lip	SPEAKER	NEGATIVE
